date,holiday
6/7/2023,
7/7/2023,
8/7/2023,
9/7/2023,
10/7/2023,
11/7/2023,
12/7/2023,
13/07/2023,
14/07/2023,
15/07/2023,
16/07/2023,
17/07/2023,
18/07/2023,
19/07/2023,
20/07/2023,
21/07/2023,
22/07/2023,
23/07/2023,
24/07/2023,
25/07/2023,
26/07/2023,
27/07/2023,
28/07/2023,
29/07/2023,
30/07/2023,
31/07/2023,
1/8/2023,
2/8/2023,
3/8/2023,
4/8/2023,
5/8/2023,
6/8/2023,
7/8/2023,
8/8/2023,
9/8/2023,
10/8/2023,
11/8/2023,
12/8/2023,
13/08/2023,
14/08/2023,
15/08/2023,
16/08/2023,
17/08/2023,
18/08/2023,
19/08/2023,
20/08/2023,
21/08/2023,
22/08/2023,
23/08/2023,
24/08/2023,
25/08/2023,
26/08/2023,
27/08/2023,
28/08/2023,
29/08/2023,
30/08/2023,
31/08/2023,
1/9/2023,1
2/9/2023,1
3/9/2023,
4/9/2023,
5/9/2023,
6/9/2023,
7/9/2023,
8/9/2023,
9/9/2023,
10/9/2023,
11/9/2023,
12/9/2023,
13/09/2023,
14/09/2023,
15/09/2023,
16/09/2023,
17/09/2023,
18/09/2023,
19/09/2023,
20/09/2023,
21/09/2023,
22/09/2023,
23/09/2023,
24/09/2023,
25/09/2023,
26/09/2023,
27/09/2023,
28/09/2023,
29/09/2023,1
30/09/2023,
1/10/2023,
2/10/2023,
3/10/2023,
4/10/2023,
5/10/2023,
6/10/2023,
7/10/2023,
8/10/2023,
9/10/2023,
10/10/2023,
11/10/2023,
12/10/2023,
13/10/2023,
14/10/2023,
15/10/2023,
16/10/2023,
17/10/2023,
18/10/2023,
19/10/2023,
20/10/2023,
21/10/2023,
22/10/2023,
23/10/2023,
24/10/2023,
25/10/2023,
26/10/2023,
27/10/2023,
28/10/2023,
29/10/2023,
30/10/2023,
31/10/2023,1
1/11/2023,
2/11/2023,
3/11/2023,
4/11/2023,
5/11/2023,
6/11/2023,
7/11/2023,
8/11/2023,
9/11/2023,
10/11/2023,
11/11/2023,
12/11/2023,
13/11/2023,
14/11/2023,
15/11/2023,
16/11/2023,
17/11/2023,
18/11/2023,
19/11/2023,
20/11/2023,
21/11/2023,
22/11/2023,
23/11/2023,
24/11/2023,
25/11/2023,
26/11/2023,
27/11/2023,
28/11/2023,
29/11/2023,
30/11/2023,
1/12/2023,
2/12/2023,
3/12/2023,
4/12/2023,
5/12/2023,
6/12/2023,
7/12/2023,
8/12/2023,
9/12/2023,
10/12/2023,
11/12/2023,
12/12/2023,
13/12/2023,
14/12/2023,
15/12/2023,
16/12/2023,
17/12/2023,
18/12/2023,
19/12/2023,
20/12/2023,
21/12/2023,
22/12/2023,
23/12/2023,
24/12/2023,
25/12/2023,1
26/12/2023,1
27/12/2023,1
28/12/2023,1
29/12/2023,1
30/12/2023,1
31/12/2023,1
